Condition,Skill,MidFile,N,Mean,SD,Mean_Percent,SD_Percent
performing,articulation,a_p_1,9,0.555555555555556,0.52704627669473,55.5555555555556,52.704627669473
performing,articulation,a_p_10,9,0.666666666666667,0.5,66.6666666666667,50
performing,articulation,a_p_11,9,0.333333333333333,0.5,33.3333333333333,50
performing,articulation,a_p_12,9,0.777777777777778,0.440958551844098,77.7777777777778,44.0958551844098
performing,articulation,a_p_13,9,0.222222222222222,0.440958551844098,22.2222222222222,44.0958551844098
performing,articulation,a_p_14,9,0.555555555555556,0.52704627669473,55.5555555555556,52.704627669473
performing,articulation,a_p_15,9,0.444444444444444,0.52704627669473,44.4444444444444,52.704627669473
performing,articulation,a_p_16,9,0.444444444444444,0.52704627669473,44.4444444444444,52.704627669473
performing,articulation,a_p_17,9,0.777777777777778,0.440958551844098,77.7777777777778,44.0958551844098
performing,articulation,a_p_18,9,0.333333333333333,0.5,33.3333333333333,50
performing,articulation,a_p_19,9,0.555555555555556,0.52704627669473,55.5555555555556,52.704627669473
performing,articulation,a_p_2,9,0.333333333333333,0.5,33.3333333333333,50
performing,articulation,a_p_20,9,0.555555555555556,0.52704627669473,55.5555555555556,52.704627669473
performing,articulation,a_p_21,9,0.444444444444444,0.52704627669473,44.4444444444444,52.704627669473
performing,articulation,a_p_22,9,0.222222222222222,0.440958551844098,22.2222222222222,44.0958551844098
performing,articulation,a_p_23,9,0.333333333333333,0.5,33.3333333333333,50
performing,articulation,a_p_24,9,0.333333333333333,0.5,33.3333333333333,50
performing,articulation,a_p_3,9,0.777777777777778,0.440958551844098,77.7777777777778,44.0958551844098
performing,articulation,a_p_4,9,0.222222222222222,0.440958551844098,22.2222222222222,44.0958551844098
performing,articulation,a_p_5,9,0.555555555555556,0.52704627669473,55.5555555555556,52.704627669473
performing,articulation,a_p_6,9,0.222222222222222,0.440958551844098,22.2222222222222,44.0958551844098
performing,articulation,a_p_7,9,0.666666666666667,0.5,66.6666666666667,50
performing,articulation,a_p_8,9,0.444444444444444,0.52704627669473,44.4444444444444,52.704627669473
performing,articulation,a_p_9,9,0.444444444444444,0.52704627669473,44.4444444444444,52.704627669473
teaching,articulation,a_t_1,9,0.666666666666667,0.5,66.6666666666667,50
teaching,articulation,a_t_10,9,0.333333333333333,0.5,33.3333333333333,50
teaching,articulation,a_t_11,9,0.666666666666667,0.5,66.6666666666667,50
teaching,articulation,a_t_12,9,0.222222222222222,0.440958551844098,22.2222222222222,44.0958551844098
teaching,articulation,a_t_13,9,0.555555555555556,0.52704627669473,55.5555555555556,52.704627669473
teaching,articulation,a_t_14,9,0.222222222222222,0.440958551844098,22.2222222222222,44.0958551844098
teaching,articulation,a_t_15,9,0.555555555555556,0.52704627669473,55.5555555555556,52.704627669473
teaching,articulation,a_t_16,9,0.222222222222222,0.440958551844098,22.2222222222222,44.0958551844098
teaching,articulation,a_t_17,9,0.555555555555556,0.52704627669473,55.5555555555556,52.704627669473
teaching,articulation,a_t_18,9,0.777777777777778,0.440958551844098,77.7777777777778,44.0958551844098
teaching,articulation,a_t_19,9,0.777777777777778,0.440958551844098,77.7777777777778,44.0958551844098
teaching,articulation,a_t_2,9,0.333333333333333,0.5,33.3333333333333,50
teaching,articulation,a_t_20,9,0.666666666666667,0.5,66.6666666666667,50
teaching,articulation,a_t_21,9,0.555555555555556,0.52704627669473,55.5555555555556,52.704627669473
teaching,articulation,a_t_22,9,0.555555555555556,0.52704627669473,55.5555555555556,52.704627669473
teaching,articulation,a_t_23,9,0.555555555555556,0.52704627669473,55.5555555555556,52.704627669473
teaching,articulation,a_t_24,9,0.333333333333333,0.5,33.3333333333333,50
teaching,articulation,a_t_3,9,0.777777777777778,0.440958551844098,77.7777777777778,44.0958551844098
teaching,articulation,a_t_4,9,0.333333333333333,0.5,33.3333333333333,50
teaching,articulation,a_t_5,9,0.666666666666667,0.5,66.6666666666667,50
teaching,articulation,a_t_6,9,0.444444444444444,0.52704627669473,44.4444444444444,52.704627669473
teaching,articulation,a_t_7,9,0.555555555555556,0.52704627669473,55.5555555555556,52.704627669473
teaching,articulation,a_t_8,9,0.555555555555556,0.52704627669473,55.5555555555556,52.704627669473
teaching,articulation,a_t_9,9,0.111111111111111,0.333333333333333,11.1111111111111,33.3333333333333
performing,dynamics,d_p_1,9,0.555555555555556,0.52704627669473,55.5555555555556,52.704627669473
performing,dynamics,d_p_10,9,0.444444444444444,0.52704627669473,44.4444444444444,52.704627669473
performing,dynamics,d_p_11,9,0.222222222222222,0.440958551844098,22.2222222222222,44.0958551844098
performing,dynamics,d_p_12,9,0.777777777777778,0.440958551844098,77.7777777777778,44.0958551844098
performing,dynamics,d_p_13,9,0.222222222222222,0.440958551844098,22.2222222222222,44.0958551844098
performing,dynamics,d_p_14,9,0.666666666666667,0.5,66.6666666666667,50
performing,dynamics,d_p_15,9,0.888888888888889,0.333333333333333,88.8888888888889,33.3333333333333
performing,dynamics,d_p_16,9,0.777777777777778,0.440958551844098,77.7777777777778,44.0958551844098
performing,dynamics,d_p_17,9,0.777777777777778,0.440958551844098,77.7777777777778,44.0958551844098
performing,dynamics,d_p_18,9,0.222222222222222,0.440958551844098,22.2222222222222,44.0958551844098
performing,dynamics,d_p_19,9,0.444444444444444,0.52704627669473,44.4444444444444,52.704627669473
performing,dynamics,d_p_2,9,0.333333333333333,0.5,33.3333333333333,50
performing,dynamics,d_p_20,9,0.555555555555556,0.52704627669473,55.5555555555556,52.704627669473
performing,dynamics,d_p_21,9,0.888888888888889,0.333333333333333,88.8888888888889,33.3333333333333
performing,dynamics,d_p_22,9,0.666666666666667,0.5,66.6666666666667,50
performing,dynamics,d_p_23,9,0.777777777777778,0.440958551844098,77.7777777777778,44.0958551844098
performing,dynamics,d_p_24,9,0.666666666666667,0.5,66.6666666666667,50
performing,dynamics,d_p_3,9,0.666666666666667,0.5,66.6666666666667,50
performing,dynamics,d_p_4,9,0.777777777777778,0.440958551844098,77.7777777777778,44.0958551844098
performing,dynamics,d_p_5,9,0.777777777777778,0.440958551844098,77.7777777777778,44.0958551844098
performing,dynamics,d_p_6,9,0.666666666666667,0.5,66.6666666666667,50
performing,dynamics,d_p_7,9,0.777777777777778,0.440958551844098,77.7777777777778,44.0958551844098
performing,dynamics,d_p_8,9,0.555555555555556,0.52704627669473,55.5555555555556,52.704627669473
performing,dynamics,d_p_9,9,0.333333333333333,0.5,33.3333333333333,50
teaching,dynamics,d_t_1,9,0.333333333333333,0.5,33.3333333333333,50
teaching,dynamics,d_t_10,9,0.777777777777778,0.440958551844098,77.7777777777778,44.0958551844098
teaching,dynamics,d_t_11,9,0.666666666666667,0.5,66.6666666666667,50
teaching,dynamics,d_t_12,9,0.111111111111111,0.333333333333333,11.1111111111111,33.3333333333333
teaching,dynamics,d_t_13,9,0.444444444444444,0.52704627669473,44.4444444444444,52.704627669473
teaching,dynamics,d_t_14,9,0.555555555555556,0.52704627669473,55.5555555555556,52.704627669473
teaching,dynamics,d_t_15,9,0.777777777777778,0.440958551844098,77.7777777777778,44.0958551844098
teaching,dynamics,d_t_16,9,0.222222222222222,0.440958551844098,22.2222222222222,44.0958551844098
teaching,dynamics,d_t_17,9,0.444444444444444,0.52704627669473,44.4444444444444,52.704627669473
teaching,dynamics,d_t_18,9,0.555555555555556,0.52704627669473,55.5555555555556,52.704627669473
teaching,dynamics,d_t_19,9,0.888888888888889,0.333333333333333,88.8888888888889,33.3333333333333
teaching,dynamics,d_t_2,9,0.333333333333333,0.5,33.3333333333333,50
teaching,dynamics,d_t_20,9,0.222222222222222,0.440958551844098,22.2222222222222,44.0958551844098
teaching,dynamics,d_t_21,9,1,0,100,0
teaching,dynamics,d_t_22,9,0.888888888888889,0.333333333333333,88.8888888888889,33.3333333333333
teaching,dynamics,d_t_23,9,0.333333333333333,0.5,33.3333333333333,50
teaching,dynamics,d_t_24,9,0.222222222222222,0.440958551844098,22.2222222222222,44.0958551844098
teaching,dynamics,d_t_3,9,0.555555555555556,0.52704627669473,55.5555555555556,52.704627669473
teaching,dynamics,d_t_4,9,0.777777777777778,0.440958551844098,77.7777777777778,44.0958551844098
teaching,dynamics,d_t_5,9,0.666666666666667,0.5,66.6666666666667,50
teaching,dynamics,d_t_6,9,0.777777777777778,0.440958551844098,77.7777777777778,44.0958551844098
teaching,dynamics,d_t_7,9,0.666666666666667,0.5,66.6666666666667,50
teaching,dynamics,d_t_8,9,0.555555555555556,0.52704627669473,55.5555555555556,52.704627669473
teaching,dynamics,d_t_9,9,0.444444444444444,0.52704627669473,44.4444444444444,52.704627669473
